,Provincias,Ramas de actividad,periodo,Total
0,02 Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,8.663.814
1,02 Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,7.855.556
2,02 Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,8.475.070
3,02 Albacete,"A. Agricultura, ganadería, silvicultura y pesca",2021,884.324
4,02 Albacete,"A. Agricultura, ganadería, silvicultura y pesca",2020,768.976
5,02 Albacete,"A. Agricultura, ganadería, silvicultura y pesca",2019,791.464
6,02 Albacete,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1.397.006
7,02 Albacete,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1.194.438
8,02 Albacete,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1.207.915
9,02 Albacete,C. - De las cuales: Industria manufacturera,2021,1.018.831
10,02 Albacete,C. - De las cuales: Industria manufacturera,2020,910.902
11,02 Albacete,C. - De las cuales: Industria manufacturera,2019,918.972
12,02 Albacete,F. Construcción,2021,465.911
13,02 Albacete,F. Construcción,2020,415.182
14,02 Albacete,F. Construcción,2019,497.842
15,02 Albacete,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,1.559.382
16,02 Albacete,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1.341.669
17,02 Albacete,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,1.646.811
18,02 Albacete,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,1.440.261
19,02 Albacete,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,1.392.792
20,02 Albacete,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,1.389.258
21,02 Albacete,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,2.091.603
22,02 Albacete,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2.055.063
23,02 Albacete,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,2.153.181
24,02 Albacete,Valor añadido bruto total,2021,7.838.487
25,02 Albacete,Valor añadido bruto total,2020,7.168.120
26,02 Albacete,Valor añadido bruto total,2019,7.686.471
27,02 Albacete,Impuestos netos sobre los productos,2021,825.327
28,02 Albacete,Impuestos netos sobre los productos,2020,687.436
29,02 Albacete,Impuestos netos sobre los productos,2019,788.599
30,02 Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,8.663.814
31,02 Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,7.855.556
32,02 Albacete,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,8.475.070
33,03 Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,37.279.735
34,03 Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,33.979.911
35,03 Alicante/Alacant,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,37.366.493
36,03 Alicante/Alacant,"A. Agricultura, ganadería, silvicultura y pesca",2021,547.312
37,03 Alicante/Alacant,"A. Agricultura, ganadería, silvicultura y pesca",2020,645.872
38,03 Alicante/Alacant,"A. Agricultura, ganadería, silvicultura y pesca",2019,576.207
39,03 Alicante/Alacant,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,3.627.964
40,03 Alicante/Alacant,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3.166.272
41,03 Alicante/Alacant,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,3.280.477
42,03 Alicante/Alacant,C. - De las cuales: Industria manufacturera,2021,2.916.222
43,03 Alicante/Alacant,C. - De las cuales: Industria manufacturera,2020,2.559.700
44,03 Alicante/Alacant,C. - De las cuales: Industria manufacturera,2019,2.686.800
45,03 Alicante/Alacant,F. Construcción,2021,2.556.047
46,03 Alicante/Alacant,F. Construcción,2020,2.436.323
47,03 Alicante/Alacant,F. Construcción,2019,2.867.928
48,03 Alicante/Alacant,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,9.851.680
49,03 Alicante/Alacant,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,8.362.099
