,value,percentage,datetime,type,cod_ccaa,ccaa
0,25288.605,0.0295168516408729,2018,Hidráulica,4,Andalucía
1,33933.35,0.0307789367489006,2019,Hidráulica,4,Andalucía
2,35913.0,0.0296445386297287,2019,Hidráulica,4,Andalucía
3,44050.848,0.0413396613811428,2019,Hidráulica,4,Andalucía
4,88535.452,0.0684968335557468,2019,Hidráulica,4,Andalucía
5,92464.391,0.0791740014735905,2019,Hidráulica,4,Andalucía
6,91236.63,0.0792833734193486,2019,Hidráulica,4,Andalucía
7,80161.437,0.0665704383980414,2019,Hidráulica,4,Andalucía
8,40095.141,0.0450968948847209,2019,Hidráulica,4,Andalucía
9,21984.146,0.0245858157435164,2019,Hidráulica,4,Andalucía
10,21611.63,0.0206324108893118,2019,Hidráulica,4,Andalucía
11,33252.448,0.0330008791630564,2019,Hidráulica,4,Andalucía
12,547209.843,0.6387031531496647,2018,Eólica,4,Andalucía
13,714535.96,0.6481133491875982,2019,Eólica,4,Andalucía
14,705153.705,0.5820721256305187,2019,Eólica,4,Andalucía
15,607656.868,0.5702575614218778,2019,Eólica,4,Andalucía
16,612356.002,0.4737587734442987,2019,Eólica,4,Andalucía
17,454884.57,0.3895016365326369,2019,Eólica,4,Andalucía
18,456346.421,0.3965587473444193,2019,Eólica,4,Andalucía
19,495339.705,0.4113571631432519,2019,Eólica,4,Andalucía
20,375841.662,0.4227268317752717,2019,Eólica,4,Andalucía
21,430931.821,0.4819295845799073,2019,Eólica,4,Andalucía
22,764217.456,0.7295908990194919,2019,Eólica,4,Andalucía
23,684672.055,0.6794922212456832,2019,Eólica,4,Andalucía
24,100175.137,0.1169243877601442,2018,Solar fotovoltaica,4,Andalucía
25,119956.735,0.1088056663774615,2019,Solar fotovoltaica,4,Andalucía
26,147364.111,0.1216423323357872,2019,Solar fotovoltaica,4,Andalucía
27,132367.448,0.1242206615002288,2019,Solar fotovoltaica,4,Andalucía
28,172457.989,0.1334248134622029,2019,Solar fotovoltaica,4,Andalucía
29,166634.356,0.1426831302819571,2019,Solar fotovoltaica,4,Andalucía
30,175669.523,0.1526543932015885,2019,Solar fotovoltaica,4,Andalucía
31,182499.378,0.1515574577440505,2019,Solar fotovoltaica,4,Andalucía
32,169840.831,0.1910279877240148,2019,Solar fotovoltaica,4,Andalucía
33,174440.057,0.1950838162960942,2019,Solar fotovoltaica,4,Andalucía
34,101305.46,0.0967153276291861,2019,Solar fotovoltaica,4,Andalucía
