,Edad (3 grupos de edad),Españoles/Extranjeros,Sexo,Año,Total,cod_prov,provincias
0,0-15 años,Españoles,Hombres,2021,27.304,02,Albacete
1,0-15 años,Españoles,Hombres,2020,27.979,02,Albacete
2,0-15 años,Españoles,Hombres,2019,28.513,02,Albacete
3,0-15 años,Españoles,Mujeres,2021,25.547,02,Albacete
4,0-15 años,Españoles,Mujeres,2020,25.953,02,Albacete
5,0-15 años,Españoles,Mujeres,2019,26.515,02,Albacete
6,0-15 años,Extranjeros,Hombres,2021,2.452,02,Albacete
7,0-15 años,Extranjeros,Hombres,2020,2.445,02,Albacete
8,0-15 años,Extranjeros,Hombres,2019,2.278,02,Albacete
9,0-15 años,Extranjeros,Mujeres,2021,2.248,02,Albacete
10,0-15 años,Extranjeros,Mujeres,2020,2.191,02,Albacete
11,0-15 años,Extranjeros,Mujeres,2019,2.157,02,Albacete
12,16-64 años,Españoles,Hombres,2021,118.339,02,Albacete
13,16-64 años,Españoles,Hombres,2020,118.606,02,Albacete
14,16-64 años,Españoles,Hombres,2019,119.164,02,Albacete
15,16-64 años,Españoles,Mujeres,2021,114.163,02,Albacete
16,16-64 años,Españoles,Mujeres,2020,114.793,02,Albacete
17,16-64 años,Españoles,Mujeres,2019,115.270,02,Albacete
18,16-64 años,Extranjeros,Hombres,2021,11.655,02,Albacete
19,16-64 años,Extranjeros,Hombres,2020,11.488,02,Albacete
20,16-64 años,Extranjeros,Hombres,2019,10.695,02,Albacete
21,16-64 años,Extranjeros,Mujeres,2021,9.637,02,Albacete
22,16-64 años,Extranjeros,Mujeres,2020,9.436,02,Albacete
23,16-64 años,Extranjeros,Mujeres,2019,8.781,02,Albacete
24,65 y más,Españoles,Hombres,2021,33.108,02,Albacete
25,65 y más,Españoles,Hombres,2020,33.242,02,Albacete
26,65 y más,Españoles,Hombres,2019,32.971,02,Albacete
27,65 y más,Españoles,Mujeres,2021,41.204,02,Albacete
28,65 y más,Españoles,Mujeres,2020,41.373,02,Albacete
29,65 y más,Españoles,Mujeres,2019,41.148,02,Albacete
30,65 y más,Extranjeros,Hombres,2021,347,02,Albacete
31,65 y más,Extranjeros,Hombres,2020,321,02,Albacete
32,65 y más,Extranjeros,Hombres,2019,290,02,Albacete
33,65 y más,Extranjeros,Mujeres,2021,460,02,Albacete
34,65 y más,Extranjeros,Mujeres,2020,443,02,Albacete
35,65 y más,Extranjeros,Mujeres,2019,385,02,Albacete
36,0-15 años,Españoles,Hombres,2021,121.579,03,Alicante/Alacant
37,0-15 años,Españoles,Hombres,2020,123.879,03,Alicante/Alacant
